City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,East London,ZA,-33.0153,27.9116,69.8,94,90,6.91,light rain
141,San Patricio,US,28.017,-97.5169,46.4,66,40,8.05,scattered clouds
142,Mount Isa,AU,-20.7333,139.5,80.6,65,41,1.14,scattered clouds
143,Da Lat,VN,11.9465,108.4419,47.1,98,0,3.62,clear sky
144,Lompoc,US,34.6391,-120.4579,62.01,58,1,2.51,clear sky
145,Noyabrsk,RU,63.1994,75.4507,-9.69,91,100,9.48,overcast clouds
146,Merauke,ID,-8.4667,140.3333,79.3,86,100,12.03,moderate rain
147,Opuwo,NA,-18.0607,13.84,72.21,44,100,10.27,overcast clouds
148,Brainerd,US,46.358,-94.2008,30.99,86,1,5.75,clear sky
149,Quarai,BR,-30.3875,-56.4514,79.32,63,100,10.07,overcast clouds
150,Sompeta,IN,18.9333,84.6,71.08,76,0,3.69,clear sky
151,Tuatapere,NZ,-46.1333,167.6833,55.99,86,100,1.01,overcast clouds
152,Beringovskiy,RU,63.05,179.3167,-16.04,86,100,13.27,overcast clouds
153,Acarau,BR,-2.8856,-40.12,82.13,70,96,15.1,overcast clouds
154,Puerto Ayora,EC,-0.7393,-90.3518,82.4,65,75,18.41,broken clouds
155,Nhulunbuy,AU,-12.2333,136.7667,80.6,89,75,3.49,broken clouds
156,Lumeje,AO,-11.55,20.7833,68.2,85,74,3.67,broken clouds
157,Elizabeth City,US,36.2946,-76.2511,50.0,71,40,5.75,scattered clouds
158,Rincon,US,32.296,-81.2354,50.0,81,90,9.22,overcast clouds
159,Kampong Chhnang,KH,12.1667,104.55,62.91,66,0,8.25,clear sky
160,Vostok,RU,46.4856,135.8833,5.0,92,100,2.59,overcast clouds
161,Vestmannaeyjar,IS,63.4427,-20.2734,37.4,93,75,35.68,broken clouds
162,Cherskiy,RU,68.75,161.3,-33.32,81,1,1.66,clear sky
163,Maniitsoq,GL,65.4167,-52.9,19.76,91,100,11.21,overcast clouds
164,Castro,BR,-24.7911,-50.0119,78.82,74,97,8.25,overcast clouds
165,Rundu,NA,-17.9333,19.7667,72.09,85,100,5.55,light rain
166,Izhma,RU,65.0083,53.9113,-14.1,88,83,1.99,broken clouds
167,Mastic Beach,US,40.7668,-72.8521,44.01,49,1,5.75,clear sky
168,Kasongo-Lunda,CD,-6.4667,16.8167,74.03,71,100,1.57,overcast clouds
169,Cape Town,ZA,-33.9258,18.4232,73.4,68,0,11.5,clear sky
170,Westport,US,41.1415,-73.3579,42.01,65,1,6.91,clear sky
171,Mayo,US,38.8876,-76.5119,48.0,65,1,9.22,clear sky
172,Vila,PT,42.0304,-8.1588,45.0,87,0,1.14,clear sky
173,Lorengau,PG,-2.0226,147.2712,83.08,78,68,11.97,broken clouds
174,Bathsheba,BB,13.2167,-59.5167,82.4,78,75,18.41,broken clouds
175,Americus,US,32.0724,-84.2327,50.0,76,90,5.75,overcast clouds
176,Rio Gallegos,AR,-51.6226,-69.2181,59.0,31,20,24.16,few clouds
177,Porto Santo,PT,33.072,-16.3415,57.2,58,40,10.36,scattered clouds
178,Manacapuru,BR,-3.2997,-60.6206,84.2,74,75,5.75,heavy intensity rain
179,Dunedin,NZ,-45.8742,170.5036,60.01,88,3,3.0,clear sky
180,Dhidhdhoo,MV,6.8833,73.1,75.61,91,100,11.27,overcast clouds
181,Burns Lake,CA,54.2331,-125.7533,30.2,86,0,2.3,clear sky
182,Conde,BR,-7.2597,-34.9075,84.2,65,40,10.36,scattered clouds
183,Nchelenge,ZM,-9.3451,28.734,71.94,82,74,6.49,moderate rain
184,Mahanje,TZ,-9.9333,35.3333,66.02,96,100,3.0,moderate rain
185,Orleans,US,30.0335,-89.9501,42.01,75,90,6.91,overcast clouds
186,Pasni,PK,25.2631,63.471,66.22,27,100,19.28,overcast clouds
187,Inhambane,MZ,-23.865,35.3833,82.4,78,40,2.3,scattered clouds
188,Uribia,CO,11.7139,-72.266,86.68,50,48,22.86,scattered clouds
189,Ahuimanu,US,21.4447,-157.8378,77.0,78,40,10.4,scattered clouds
190,Acapulco,MX,16.8634,-99.8901,86.0,58,20,5.75,few clouds
