City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Moron,AR,2021-01-09 22:02:12,-34.6534,-58.6198,80.01,59,0,5.01
93,Norman Wells,CA,2021-01-09 22:02:12,65.282,-126.8329,6.8,85,20,3.44
94,Vanderhoof,CA,2021-01-09 22:00:08,54.0166,-124.0198,26.71,95,100,6.51
95,Dmitriyevka,RU,2021-01-09 22:02:12,54.75,55.3333,21.2,86,90,6.71
96,Charters Towers,AU,2021-01-09 22:02:12,-20.1,146.2667,71.6,87,100,12.95
97,Nanortalik,GL,2021-01-09 22:02:12,60.1432,-45.2371,30.97,92,99,7.7
98,Faya,SA,2021-01-09 22:02:12,18.3851,42.4509,51.8,81,0,2.68
99,Coari,BR,2021-01-09 22:02:12,-4.085,-63.1414,76.84,93,95,0.51
100,Namatanai,PG,2021-01-09 21:58:44,-3.6667,152.4333,82.78,74,86,6.42
101,Khani,GE,2021-01-09 22:02:13,41.9563,42.9566,37.4,70,0,4.61
102,Soyo,AO,2021-01-09 22:02:13,-6.1349,12.3689,77.74,80,21,8.81
103,Carbonia,IT,2021-01-09 22:02:13,39.1672,8.5222,55.99,94,0,3.44
104,Kapoeta,SS,2021-01-09 22:02:13,4.7717,33.5903,81.3,29,11,1.81
105,Calvinia,ZA,2021-01-09 22:02:13,-31.4707,19.776,63.37,58,0,4.99
106,Ribeira Grande,PT,2021-01-09 22:02:13,38.5167,-28.7,59.0,67,75,16.11
107,Kruisfontein,ZA,2021-01-09 21:58:27,-34.0033,24.7314,69.01,82,50,4.0
108,Hithadhoo,MV,2021-01-09 21:58:14,-0.6,73.0833,80.73,75,100,10.85
109,Tevaitoa,PF,2021-01-09 22:02:13,-16.7833,-151.5,81.34,71,1,13.85
110,Rocha,UY,2021-01-09 22:02:13,-34.4833,-54.3333,69.01,57,79,10.36
111,Portsmouth,GB,2021-01-09 22:01:43,50.799,-1.0913,34.0,96,0,3.69
112,Buala,SB,2021-01-09 22:02:13,-8.145,159.5921,84.96,69,100,6.17
113,Arrah,IN,2021-01-09 22:01:05,25.5667,84.6667,60.8,72,78,6.17
114,Port Hedland,AU,2021-01-09 22:02:13,-20.3167,118.5667,80.6,83,93,6.91
115,Jamestown,US,2021-01-09 22:02:00,42.097,-79.2353,30.99,59,1,9.22
116,Biskamzha,RU,2021-01-09 22:02:13,53.4497,89.5272,-4.18,85,100,4.0
117,Hachinohe,JP,2021-01-09 21:58:30,40.5,141.5,21.0,78,47,5.01
118,Cabo San Lucas,MX,2021-01-09 22:02:14,22.8909,-109.9124,73.99,49,1,12.66
119,Bengkulu,ID,2021-01-09 22:01:36,-3.8004,102.2655,75.31,85,100,5.28
120,Port Hardy,CA,2021-01-09 22:02:14,50.6996,-127.4199,42.8,81,90,19.57
121,Sabha,LY,2021-01-09 22:02:14,27.0377,14.4283,67.21,26,35,11.05
122,Kenora,CA,2021-01-09 22:02:14,49.8167,-94.4337,23.0,93,90,8.05
123,Campoverde,PE,2021-01-09 22:02:14,-8.4753,-74.8058,89.6,58,40,5.75
124,Mnogovershinnyy,RU,2021-01-09 22:02:14,53.9353,139.9242,-21.37,88,90,3.94
125,Tasiilaq,GL,2021-01-09 21:58:23,65.6145,-37.6368,17.6,53,20,4.61
126,Cape Town,ZA,2021-01-09 22:01:41,-33.9258,18.4232,69.01,73,75,5.75
127,Taoudenni,ML,2021-01-09 22:02:14,22.6783,-3.9836,73.42,39,79,12.73
128,Lethem,GY,2021-01-09 22:02:14,3.3803,-59.7968,80.8,75,68,4.59
129,Songjianghe,CN,2021-01-09 22:02:14,42.1859,127.479,-6.5,86,82,6.22
